word,commentCount
flynn,11806.0
offenses,8664.5
clinton,7968.333333333333
obama-era,7505.5
sick,6833.5
sentence,6534.5
white,6387.75
filings,6374.666666666667
mueller,6365.222222222223
circuit,6276.0
meeting,6002.5
tony,5955.0
ex-fbi,5638.5
report,5551.75
fbi,5544.4
heat,5503.5
pentagon,5180.0
obama,5123.5
ballot,4868.5
harvesting,4868.5
major,4868.0
hill,4854.333333333333
released,4851.0
family,4815.0
probe,4788.5
memo,4753.25
ocasio-cortez,4725.5
justice,4559.5
california,4558.0
boss,4545.0
case,4515.75
federal,4491.0
how,4403.0
iran,4400.0
transcript,4377.0
leaders,4337.0
kelly,4302.5
john,4302.5
committee,4241.5
comey,4214.272727272727
heats,4184.333333333333
email,4115.5
claims,4034.3333333333335
voters,3894.5
loom,3812.0
subpoena,3791.5
member,3772.5
private,3731.5
americans,3710.5
prosecutors,3659.5
testimony,3644.8
lame-duck,3606.0
session,3606.0
michael,3583.6
law,3517.0
use,3476.0
it,3473.6666666666665
deal,3404.0
despite,3380.0
reform,3375.5
congressional,3293.6666666666665
return,3284.5
staff,3254.5
time,3198.0
republican,3184.714285714286
harris,3084.5
court,3041.5
trump,2982.076923076923
beto,2962.0
trump’s,2932.0
wall,2890.6666666666665
election,2864.0
heather,2852.0
ambassador,2852.0
chief,2817.0
aide,2755.5
democrat,2734.5555555555557
manafort,2663.0
russia,2622.1666666666665
vote,2597.3333333333335
officials,2595.5
reveals,2593.0
un,2587.0
nauert,2534.0
national,2491.6666666666665
house,2447.6428571428573
cohen,2446.1666666666665
roger,2404.0
fifth,2404.0
plead,2404.0
stone,2404.0
border,2377.0
hamas,2322.0
gop,2157.4285714285716
attorney,2155.6666666666665
general,2155.6666666666665
william,2155.6666666666665
gov,2099.0
interview,2069.5
barr,2011.75
illegal,1926.5
may,1918.6666666666667
resolution,1874.0
warren,1798.0
possible,1746.3333333333333
wisconsin,1690.5
blasts,1684.0
nearly,1613.3333333333333
senate,1604.6666666666667
standing,1604.5
2020,1572.0
bob,1572.0
funeral,1467.5714285714287
saw,1318.5
reports,1315.6666666666667
cites,1301.5
director,1267.5
race,1211.6666666666667
president,1202.75
lawsuit,1201.3333333333333
run,1200.0
state,1194.0
pick,1182.6666666666667
being,1164.0
dem,1159.2
following,1111.5
think,1083.0
saudi,1068.5
prince,1068.5
bush,1061.5
rule,994.5
shutdown,966.0
james,956.3333333333334
against,946.5
amid,885.0
north,866.3333333333334
carolina,866.3333333333334
christmas,856.0
khashoggi,795.6666666666666
dc,780.0
haley,768.5
early,748.0
announces,737.0
prison,687.0
lawmakers,671.5
government,650.3333333333334
future,649.5
capitol,614.4
support,602.75
top,555.0
pay,548.3333333333334
would,539.0
legal,526.5
hampshire,490.5
bill,487.6666666666667
media,478.0
democratic,439.6666666666667
hw,395.3
papadopoulos,358.0
honored,351.5
first,348.0
texas,346.5
good,336.5
cathedral,336.5
murder,329.0
george,326.82608695652175
remembered,325.0
fraud,263.5
chiefs,253.25
things,253.0
former,249.5
dunford,247.0
succeed,247.0
joseph,247.0
service,204.0
gen,202.6
milley,173.0
chairman,173.0
mark,173.0
joint,173.0
casket,164.5
place,159.0
final,159.0
resting,159.0
sentencing,117.5
during,99.0
eulogy,99.0
w,86.0
read,85.5
bushs,76.0
cohens,67.0
services,35.5
program,27.0
