word,articleAppearanceCount
trump,39
george,23
hw,20
house,14
bush,14
comey,11
2020,10
democrat,9
mueller,9
will,8
bushs,8
republican,7
gop,7
funeral,7
probe,6
russia,6
know,6
cohen,6
un,6
fbi,5
capitol,5
new,5
testimony,5
not,5
dem,5
gen,5
who,5
michael,5
barr,4
case,4
his,4
president,4
chiefs,4
report,4
election,4
support,4
white,4
he,4
memo,4
nauert,4
ocasio-cortez,4
up,4
possible,3
pick,3
government,3
filings,3
chairman,3
law,3
joint,3
may,3
during,3
general,3
service,3
us,3
deal,3
warren,3
manafort,3
and,3
eulogy,3
william,3
senate,3
milley,3
james,3
it,3
reports,3
mark,3
chief,3
despite,3
heats,3
ambassador,3
khashoggi,3
border,3
clinton,3
bill,3
hamas,3
wall,3
national,3
hill,3
race,3
pay,3
nearly,3
reveals,3
lawsuit,3
leaders,3
heather,3
claims,3
would,3
congressional,3
carolina,3
vote,3
north,3
use,3
democratic,3
attorney,3
transcript,3
being,2
beto,2
fraud,2
americans,2
saw,2
blasts,2
fifth,2
program,2
stone,2
succeed,2
heat,2
state,2
early,2
prosecutors,2
resolution,2
cites,2
sentence,2
services,2
boss,2
legal,2
kelly,2
shutdown,2
session,2
reform,2
back,2
former,2
obama,2
released,2
ex-fbi,2
amid,2
committee,2
cathedral,2
voters,2
top,2
family,2
wisconsin,2
read,2
offenses,2
how,2
private,2
meeting,2
hampshire,2
dc,2
return,2
obama-era,2
resting,2
interview,2
cohens,2
major,2
circuit,2
staff,2
lawmakers,2
sentencing,2
tony,2
harvesting,2
casket,2
flynn,2
justice,2
lame-duck,2
christmas,2
email,2
bob,2
following,2
john,2
california,2
ballot,2
subpoena,2
first,2
prince,2
gov,2
federal,2
standing,2
harris,2
member,2
final,2
remembered,2
iran,2
haley,2
good,2
court,2
officials,2
place,2
time,2
dunford,2
announces,2
roger,2
rule,2
plead,2
papadopoulos,2
things,2
illegal,2
saudi,2
future,2
texas,2
aide,2
run,2
trump’s,2
loom,2
honored,2
against,2
joseph,2
sick,2
w,2
murder,2
pentagon,2
think,2
director,2
prison,2
media,2
laws,1
‘substantial,1
resign,1
classic,1
averting,1
tehran,1
nc,1
non-citizens,1
transparency,1
epa,1
rushing,1
sources,1
challenged,1
$800g,1
more,1
harassment,1
supreme,1
country,1
priestap,1
ballots,1
pages,1
complaint,1
field,1
spot,1
clinton-linked,1
candidate,1
told,1
winner,1
sessions,1
embodied,1
floats,1
congress,1
avenatti,1
‘you,1
seat,1
brass,1
carefully,1
very,1
bush-era,1
he’ll,1
arms,1
–,1
eye,1
stopping,1
error,1
taxation,1
violent,1
lied,1
prods,1
revoke,1
tom,1
puppies,1
iowa,1
qualified,1
rout,1
foes,1
alexandria,1
retirement,1
implicating,1
criticism,1
kids,1
beltway,1
cia,1
potential,1
lawyers,1
ousted,1
90,1
accept,1
tank,1
tell,1
test,1
grassley,1
pardoning,1
cias,1
considers,1
rips,1
year,1
coal,1
work,1
dubbing,1
pelosi,1
maga,1
executives,1
evers,1
need,1
maryland,1
organization,1
policy,1
isnt,1
winnowing,1
respects,1
whether,1
hotel,1
result,1
shed,1
dumb,1
finds,1
lame,1
outreach,1
administration,1
like,1
arrest,1
‘4141’,1
tj,1
toss,1
life,1
playing,1
meet,1
reiterates,1
bias,1
41,1
contacts,1
terrorism,1
dna,1
agriculture,1
embattled,1
replacement,1
snipes,1
asylum,1
sen,1
source,1
your,1
ditching,1
migrants,1
bureau,1
statements,1
perez,1
attorneys,1
season,1
wins,1
condemns,1
dncs,1
puts,1
condemning,1
ask,1
sentiment,1
cory,1
holds,1
you,1
hillary,1
mitch,1
travels,1
scott’s,1
china,1
connecting,1
everything,1
threaten,1
some,1
org,1
names,1
hired,1
wife,1
anti-trump,1
indication,1
leader,1
speech,1
shield,1
dismissal,1
brief,1
graces,1
hard,1
single,1
allegations,1
four,1
biden,1
retracts,1
presidential,1
decency,1
tree-lighting,1
amendment,1
slams,1
value,1
next,1
spent,1
blog,1
go,1
uranium,1
regretting,1
dramatic,1
package,1
star,1
meadows,1
awkward,1
all,1
scorched,1
evidence,1
superstar,1
challenging,1
hope,1
belated,1
football,1
now,1
mccready,1
female,1
tosses,1
obama’s,1
remember,1
charge,1
craig,1
so,1
what,1
spending,1
down,1
information,1
booker,1
linked,1
socks,1
sitting,1
concealed,1
someone,1
its,1
flynn’s,1
trade,1
light,1
houston,1
colorful,1
announce,1
because,1
air,1
welfare,1
once,1
elizabeth,1
gina,1
european,1
whistleblower,1
hollowed,1
mcconnell,1
appeal,1
committees,1
