word,articleAppearanceCount
trump,58
donald,13
gop,9
republican,8
twitter,8
george,8
house,8
alexandria,7
ocasio-cortez,7
border,6
michael,6
hw,6
white,6
wisconsin,6
bush,6
paul,5
rep,5
mueller,5
fox,5
russia,5
climate,5
plea,5
deal,5
report,5
president,5
power,4
country,4
court,4
democrat,4
probe,4
2020,4
leave,4
news,4
people,3
texas,3
administration,3
years,3
staff,3
asylum,3
you,3
should,3
tweet,3
migrant,3
person,3
run,3
her,3
got,3
illegal,3
weak,3
rips,3
migrants,3
time,3
campaign,3
chief,3
vote,3
khashoggi,3
it,3
how,3
because,3
north,3
former,3
holiday,3
grab,3
carolina,3
look,3
some,3
year,3
cohen,3
troops,3
warning,3
mexico,3
government,3
mike,3
if,3
obamas,3
change,3
ivanka,3
thinks,3
arabia,2
showing,2
gas,2
prison,2
imploding,2
thanksgiving,2
would,2
seekers,2
2,2
users,2
make,2
john,2
kids,2
law,2
one,2
chris,2
reaches,2
weakening,2
like,2
scott,2
asylum-seeker,2
but,2
red,2
trees,2
than,2
rules,2
joe,2
manafort,2
lawyer,2
times,2
goes,2
woman,2
most,2
handmaids,2
outside,2
release,2
putin,2
right,2
decide,2
details,2
8,2
lets,2
saudi,2
proud,2
now,2
everything,2
email,2
office,2
presidential,2
bill,2
james,2
what,2
governor,2
bernie,2
boys,2
wont,2
really,2
surprise,2
here’s,2
pence,2
julian,2
burns,2
child,2
mercy,2
cohen’s,2
melania,2
obsessed,2
michelle,2
host,2
here,2
nancy,2
killing,2
guilty,2
sanders,2
totally,2
giuliani,2
slams,2
ryan,2
ice,2
conjure,2
voting,2
patrol,2
biden,2
comey,2
harris,2
governors,2
while,2
hearing,2
book,2
funeral,2
tear,2
may,2
agree,2
election,2
wage,2
supreme,2
2018,2
business,2
christmas,2
fence,2
candidates,2
tale,2
i,2
assange,2
eyes,2
federal,2
kamala,2
understand,2
attacks,2
being,2
lawmakers,2
whose,2
walker,2
conway,2
doubt,2
off,2
trump’s,2
clinton,2
stop,2
milano,1
contacts,1
sick,1
conflicts,1
behind,1
invite,1
january,1
judge’,1
gives,1
cuomos,1
too,1
double,1
help,1
arnold,1
my,1
fights,1
